Drop_point,Shipment_Mode,Dosage_Form,Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,Weight,Freight_Cost,Line_Item_Insurance,Delivery_Status,Pickup_Point
South Africa,Truck,Others,600,3426.0,5.71,0.1,,,5.48,Delivered Early,Others
Guyana,Air,Test kit,240,17277.6,71.99,0.72,55.0,1442.92,27.64,On time,Others
Ethiopia,Air,Test kit,1044,24012.0,23.0,23.0,754.0,6267.38,38.42,On time,Others
Haiti,Air,Test kit,955,63985.0,67.0,0.67,164.0,1802.14,102.38,On time,Others
Guyana,Air,Test kit,748,23936.0,32.0,1.6,748.0,3740.04,38.3,On time,
South Africa,Truck,Others,80,2252.0,28.15,0.31,,,3.6,On time,Others
South Africa,Truck,Others,10,91.9,9.19,0.11,,,0.15,On time,Others
South Africa,Truck,Others,1000,4890.0,4.89,0.08,,,7.82,On time,Others
South Africa,Truck,Others,200,596.0,2.98,0.1,,,0.95,On time,Others
Vietnam,Air,Others,360,2790.0,7.75,0.13,,,4.46,On time,India
Vietnam,Air,Others,1400,7686.0,5.49,0.05,106.0,2869.03,12.3,On time,India
Vietnam,Air,Tablet,10080,115718.4,11.48,0.38,772.0,5893.08,185.15,On time,Others
Vietnam,Air,Tablet,2016,27538.56,13.66,0.46,122.0,2867.81,44.06,Delivered Early,Others
South Africa,,Others,100,2386.0,23.86,0.8,,,3.82,Delivered Early,Others
Vietnam,Air,Tablet,1480,121656.0,82.2,0.68,370.0,2652.33,194.65,On time,Others
Vietnam,Air,Tablet,5040,51609.6,10.24,0.34,,,82.58,On time,Others
South Africa,Truck,Others,80,2572.0,32.15,0.36,,,4.12,Delivered Early,Others
South Africa,Truck,Tablet - FDC,20,765.0,38.25,1.27,,,1.22,Delivered Early,Others
South Africa,Truck,Others,4,285.52,71.38,0.26,,,0.46,Delivered Early,Others
Ethiopia,Air,Tablet,32,1434.88,44.84,0.04,7.0,399.18,2.3,On time,Others
Zimbabwe,Air,Others,1396,13.96,0.01,0.0,,,0.03,On time,Others
Rwanda,Air,Tablet,83400,931578.0,11.17,0.37,6701.0,87692.85,1490.52,On time,India
Nigeria,Air,Others,34,1547.68,45.52,0.08,159.0,1976.57,2.48,On time,Others
Nigeria,Air,Others,34,1547.68,45.52,0.08,,,2.48,On time,Others
South Africa,Truck,Tablet,1000,5310.0,5.31,0.09,,,8.5,Delayed,Others
Nigeria,Air,Test kit,6502,520094.98,79.99,0.8,,,832.15,On time,Others
Vietnam,Air,Others,240,1680.0,7.0,0.12,52.0,1516.05,3.29,On time,Others
Nigeria,Air,Others,25,875.0,35.0,0.06,86.0,1528.06,1.4,On time,Others
Vietnam,Air,Tablet - FDC,1800,15498.0,8.61,0.14,,,24.8,On time,India
Ethiopia,Air,Test kit,6998,160954.0,23.0,23.0,5056.0,44360.44,315.47,On time,Others
South Africa,Truck,Tablet,550,6820.0,12.4,0.21,,,10.91,Delivered Early,Others
South Africa,Truck,Others,10,125.4,12.54,0.06,,,0.2,Delivered Early,Others
Others,Air,Test kit,2,140.0,70.0,0.7,,,0.22,On time,Others
Côte d'Ivoire,Air,Others,20000,14000.0,0.7,0.03,,,27.44,On time,India
Mozambique,Air,Others,1000,10.0,0.01,0.0,,,0.02,On time,Others
Vietnam,Air,Tablet,6966,16718.4,2.4,0.04,,,32.77,On time,India
Zimbabwe,Air,Test kit,5000,13398.72,2.68,2.68,,,26.26,On time,
Ethiopia,Air,Test kit,9325,251775.0,27.0,1.35,3061.0,15288.75,493.48,Delivered Early,
Ethiopia,Air,Test kit,3711,100197.0,27.0,1.35,1341.0,6112.63,196.39,On time,
Others,Truck,Test kit,5,3500.0,700.0,7.0,,,6.86,On time,Others
Nigeria,Air,Test kit,3622,289760.0,80.0,0.8,1091.0,15045.56,567.93,On time,Others
Tanzania,Air,Tablet - FDC,2357,118792.8,50.4,1.68,,,232.83,On time,Others
Guyana,Air,Test kit,2086,66752.0,32.0,1.6,707.0,5926.53,130.83,On time,
Vietnam,Air,Tablet,7800,22620.0,2.9,0.05,,,44.34,On time,India
Vietnam,Air,Others,22428,32520.6,1.45,0.02,,,63.74,On time,India
Zambia,Air,Test kit,8000,256000.0,32.0,1.6,2657.0,25513.66,501.76,On time,
Tanzania,Truck,Test kit,110,12650.0,115.0,1.15,,,24.79,On time,Others
Vietnam,Air,Tablet - FDC,1176,10125.36,8.61,0.14,105.0,865.6,19.85,On time,India
Rwanda,Air,Test kit,963,30816.0,32.0,1.6,320.0,3100.66,60.4,On time,
Côte d'Ivoire,Air,Test kit,1500,105000.0,70.0,0.7,341.0,9749.73,205.8,On time,Others
South Africa,Air,Others,180,210.6,1.17,0.01,,,0.41,Delivered Early,Others
South Africa,Air,Tablet,6000,32520.0,5.42,0.09,,,63.74,Delivered Early,India
South Africa,Air,Others,3600,13896.0,3.86,0.06,,,27.24,Delivered Early,Others
South Africa,Air,Tablet,5550,68098.5,12.27,0.2,,,133.47,Delivered Early,India
South Africa,Air,Others,40,48.4,1.21,0.01,,,0.09,Delivered Early,Others
South Africa,Air,Others,24150,59892.0,2.48,0.04,,,117.39,Delivered Early,India
South Africa,Air,Tablet,100,520.0,5.2,0.09,,,1.02,Delivered Early,India
South Africa,Air,Others,1000,3550.0,3.55,0.01,,,6.96,On time,India
South Africa,Air,Others,10,94.9,9.49,0.16,,,0.19,Delivered Early,Others
South Africa,Air,Tablet,2000,10460.0,5.23,0.09,,,20.5,Delivered Early,Others
South Africa,Air,Others,150,949.5,6.33,0.03,,,1.86,Delivered Early,Others
South Africa,Air,Tablet - FDC,80,2542.4,31.78,1.06,,,4.98,Delivered Early,Others
South Africa,Air,Others,300,1212.0,4.04,0.07,,,2.38,Delivered Early,Others
South Africa,Air,Tablet,400,8692.0,21.73,0.72,,,17.04,Delivered Early,Others
South Africa,Air,Tablet,1000,19760.0,19.76,0.33,,,38.73,Delivered Early,India
South Africa,Air,Tablet,1900,68362.0,35.98,0.3,,,133.99,Delivered Early,Others
South Africa,Air,Tablet,3344,23675.52,7.08,0.12,,,46.4,Delivered Early,India
South Africa,Truck,Tablet,7000,37520.0,5.36,0.09,,,73.54,On time,Others
South Africa,Truck,Others,1000,5650.0,5.65,0.02,,,11.07,Delivered Early,India
Guyana,Air,Test kit,2026,64832.0,32.0,1.6,675.0,8727.54,127.07,On time,
South Africa,Truck,Others,1800,5418.0,3.01,0.05,,,10.62,On time,India
South Africa,Truck,Others,650,3614.0,5.56,0.02,,,7.08,On time,Others
South Africa,Truck,Others,30,1970.4,65.68,0.24,,,3.86,Delivered Early,Others
Haiti,Air,Test kit,60,21000.0,350.0,3.5,144.0,4185.29,41.16,On time,Others
Kenya,Air,Test kit,7500,600000.0,80.0,0.8,2215.0,17662.98,1176.0,On time,Others
Nigeria,Air,Test kit,6393,511440.0,80.0,0.8,1920.0,30697.91,1002.42,On time,Others
Rwanda,Air,Tablet - FDC,38736,348624.0,9.0,0.15,3080.0,33235.44,683.3,On time,Others
Vietnam,Air,Tablet,22512,146328.0,6.5,0.22,1775.0,5761.87,286.8,On time,Others
Others,Air,Test kit,33,2475.0,75.0,3.0,25.0,238.56,4.85,On time,
Others,Air,Test kit,950,71250.0,75.0,3.0,760.0,5213.02,139.65,On time,
Others,Air,Test kit,138,4416.0,32.0,1.6,56.0,1060.43,8.66,On time,
Vietnam,Air,Others,480,3360.0,7.0,0.12,,,6.59,On time,Others
Others,Air,Test kit,150,10800.0,72.0,0.72,47.0,2681.23,21.17,On time,Others
South Africa,Truck,Tablet,550,8624.0,15.68,0.26,,,16.9,Delivered Early,Others
South Africa,Truck,Others,700,2457.0,3.51,0.06,,,4.82,Delivered Early,India
South Africa,Truck,Others,200,1410.0,7.05,0.03,,,3.04,On time,India
South Africa,Truck,Others,400,1468.0,3.67,0.12,,,2.88,On time,India
Zambia,Air,Test kit,2500,180000.0,72.0,0.72,740.0,7513.71,388.08,On time,Others
Others,Air,Test kit,120,3840.0,32.0,1.6,41.0,1862.27,7.53,On time,
Zambia,,Tablet,228,17948.16,78.72,0.29,60.0,1218.91,,On time,Others
Mozambique,Air,Tablet,764,60814.4,79.6,0.29,1669.0,859.14,,On time,Others
Mozambique,Air,Others,341,1166.22,3.42,0.11,,,,On time,Others
Mozambique,Air,Tablet,10403,174250.25,16.75,0.56,1717.0,1893.82,,On time,India
Nigeria,,Others,5151,105595.5,20.5,0.17,667.0,2921.0,,On time,Others
Côte d'Ivoire,,Tablet - FDC,2230,22857.5,10.25,0.17,909.0,2804.0,,On time,India
Mozambique,Air,Tablet,747,12699.0,17.0,0.57,84.0,1338.04,,On time,Others
Zimbabwe,,Tablet,1050,17062.5,16.25,0.54,90.0,1428.67,,On time,India
Nigeria,,Others,1200,2640.0,2.2,0.01,1178.0,4535.0,,On time,India
Nigeria,,Tablet,2170,6727.0,3.1,0.05,,,,On time,India
Nigeria,,Others,1216,4256.0,3.5,0.01,840.0,3736.0,,On time,India
Zambia,,Tablet - FDC,14851,389838.75,26.25,0.88,899.0,5245.98,,On time,Others
Nigeria,,Others,5661,116050.5,20.5,0.17,725.0,4104.5,,On time,Others
Mozambique,Air,Others,470,35856.3,76.29,0.28,,7364.3,,On time,Others
Côte d'Ivoire,,Tablet - FDC,1778,18224.5,10.25,0.17,716.0,2601.0,,On time,India
Côte d'Ivoire,,Tablet - FDC,9000,67500.0,7.5,0.12,974.0,3166.0,,On time,India
Zambia,,Test kit,5212,166784.0,32.0,1.6,1780.0,13736.03,,On time,
Zambia,,Tablet,8905,318799.0,35.8,0.6,3139.0,13094.69,,On time,India
Zambia,,Tablet,5019,206280.9,41.1,0.34,1092.0,4761.51,330.05,On time,Others
Mozambique,Air,Others,564,27816.48,49.32,0.27,3946.0,8892.48,,On time,Others
Mozambique,Air,Others,421,32118.09,76.29,0.28,,,,On time,Others
Nigeria,,Tablet,880,2912.8,3.31,0.06,226.0,1732.0,,On time,India
Côte d'Ivoire,,Others,875,1881.25,2.15,0.04,58.0,727.0,,On time,India
Nigeria,,Others,300,537.0,1.79,0.03,54.0,1283.24,0.86,On time,India
Zimbabwe,,Tablet,6000,97500.0,16.25,0.54,553.0,1956.93,,On time,India
Côte d'Ivoire,,Tablet,1926,16409.52,8.52,0.14,105.0,977.55,,On time,India
Côte d'Ivoire,,Tablet - FDC,40411,303082.5,7.5,0.12,7185.0,17587.0,484.93,On time,India
Côte d'Ivoire,,Test kit,2,160.0,80.0,0.8,1.0,9789.07,0.26,On time,Others
Guyana,Air,Tablet,564,4596.6,8.15,0.14,34.0,1920.0,7.35,On time,India
Zimbabwe,Truck,Tablet - FDC,8694,64335.6,7.4,0.12,819.0,3135.0,102.94,On time,India
Tanzania,Air,Test kit,302,24160.0,80.0,0.8,98.0,1266.39,38.66,On time,Others
Côte d'Ivoire,Air,Tablet,3145,9560.8,3.04,0.05,206.0,2731.58,15.3,On time,India
Côte d'Ivoire,,Others,5000,17350.0,3.47,0.12,263.0,1699.0,27.76,On time,Others
Others,,Test kit,300,9600.0,32.0,1.6,172.0,688.84,15.36,On time,
Côte d'Ivoire,,Others,1076,53800.0,50.0,0.28,1286.0,7629.94,86.08,On time,Others
Mozambique,Air,Others,338,7114.9,21.05,0.09,9006.0,9869.55,11.38,On time,India
Zimbabwe,Truck,Tablet,1200,9780.0,8.15,0.14,70.0,1949.84,15.65,On time,India
Côte d'Ivoire,,Others,1796,2729.92,1.52,0.03,5880.0,14656.0,4.37,On time,India
Zimbabwe,Truck,Tablet - FDC,53546,396240.4,7.4,0.12,5467.0,18941.31,633.98,On time,India
Zimbabwe,Truck,Tablet - FDC,537,1074.0,2.0,0.07,143.0,2099.0,1.72,On time,India
Uganda,Air,Tablet - FDC,1953,14452.2,7.4,0.12,283.0,1673.0,23.12,On time,India
Côte d'Ivoire,,Others,245,9398.2,38.36,0.11,1468.0,4602.4,15.04,On time,Others
Côte d'Ivoire,,Tablet,24265,394548.9,16.26,0.54,2518.0,6667.0,631.28,On time,India
Ethiopia,,Others,13850,29777.5,2.15,0.01,35216.0,88801.0,47.64,On time,India
Côte d'Ivoire,,Tablet - FDC,11803,126056.04,10.68,0.18,1148.0,2762.0,201.69,On time,India
Zambia,,Tablet,3769,154905.9,41.1,0.34,821.0,4068.44,247.85,On time,Others
Zambia,,Test kit,1128,90240.0,80.0,0.8,629.0,2938.27,144.38,On time,Others
Nigeria,Air,Others,9980,204590.0,20.5,0.17,2846.0,13873.0,327.34,On time,Others
Nigeria,Air,Tablet - FDC,222,1665.0,7.5,0.12,,,2.66,On time,India
Nigeria,Air,Tablet - FDC,1132,8716.4,7.7,0.13,,,13.95,On time,India
Nigeria,Air,Others,1653,6529.35,3.95,0.02,,,10.45,On time,India
Côte d'Ivoire,Air,Test kit,1150,82800.0,72.0,0.72,476.0,2172.0,132.48,On time,Others
Zambia,Air,Tablet - FDC,3360,88200.0,26.25,0.88,281.0,1532.41,141.12,On time,Others
Nigeria,Air,Others,1500,2280.0,1.52,0.03,178.0,1621.0,3.65,On time,India
Zambia,Air,Tablet - FDC,40245,382327.5,9.5,0.16,3254.0,13267.3,611.72,On time,India
Mozambique,Air,Tablet - FDC,10044,95418.0,9.5,0.16,7341.0,10879.28,152.67,On time,India
Nigeria,Air,Tablet - FDC,7436,100386.0,13.5,0.22,962.0,5180.0,160.62,On time,India
Zambia,Truck,Tablet,72333,245932.2,3.4,0.06,4957.0,15220.18,393.49,On time,India
Ethiopia,Air,Others,7294,10211.6,1.4,0.01,753.0,8004.0,16.34,On time,India
Haiti,Air,Test kit,10,720.0,72.0,0.72,6.0,2219.44,1.15,On time,Others
Haiti,Air,Others,2000,3940.0,1.97,0.01,4213.0,38515.8,6.3,On time,India
Haiti,Air,Tablet,5000,15200.0,3.04,0.05,,,24.32,On time,India
Nigeria,Air,Tablet - FDC,12984,266172.0,20.5,0.34,3286.0,18208.0,425.88,On time,India
Zambia,,Tablet - FDC,14052,103984.8,7.4,0.12,1420.0,5780.2,166.38,On time,India
Zambia,,Others,3690,10147.5,2.75,0.09,226.0,1370.28,16.24,On time,India
Côte d'Ivoire,Air,Tablet,8000,27200.0,3.4,0.06,1013.0,3646.0,43.52,On time,India
Zimbabwe,Air,Tablet,1860,23101.2,12.42,0.41,2425.0,13356.65,36.96,On time,India
Côte d'Ivoire,Air,Tablet - FDC,1847,129290.0,70.0,1.17,271.0,1700.0,206.86,On time,Others
Others,Air,Test kit,100,3200.0,32.0,1.6,35.0,861.0,5.12,On time,
Mozambique,Air,Others,120,182.4,1.52,0.03,5092.0,8118.64,0.29,Delivered Early,India
Zimbabwe,Air,Tablet,1860,23101.2,12.42,0.41,4091.0,12130.9,36.96,On time,India
Mozambique,Air,Others,2744,6695.36,2.44,0.01,998.0,3894.6,10.71,On time,India
Mozambique,Air,Tablet - FDC,52240,104480.0,2.0,0.07,4230.0,8771.34,167.17,Delivered Early,India
Zambia,,Test kit,2100,151179.0,71.99,0.72,498.0,2292.6,241.89,On time,Others
Nigeria,Air,Tablet - FDC,367,3486.5,9.5,0.16,447.0,2230.0,5.58,On time,India
Rwanda,Air,Others,2093,20.93,0.01,0.0,609.0,12977.28,0.03,On time,Others
Tanzania,Air,Tablet - FDC,9476,90022.0,9.5,0.16,1008.0,4207.4,144.04,On time,India
Guyana,Air,Tablet,5670,70421.4,12.42,0.41,441.0,6141.25,112.67,On time,India
Côte d'Ivoire,Air,Test kit,9,2773.53,308.17,17.12,13.0,1148.0,4.44,On time,
Côte d'Ivoire,Air,Others,475,912.0,1.92,0.01,170.0,1301.0,1.46,On time,India
Zambia,,Tablet,44135,548156.7,12.42,0.41,3462.0,12569.92,877.05,On time,Others
Côte d'Ivoire,Air,Others,5900,8260.0,1.4,0.01,2093.0,5962.31,13.22,On time,India
Uganda,,Tablet - FDC,656,17220.0,26.25,0.88,58.0,794.22,27.55,On time,Others
Uganda,,Tablet - FDC,93,688.2,7.4,0.12,311.0,1430.22,1.1,On time,India
Mozambique,Air,Test kit,4300,309557.0,71.99,0.72,1017.0,519.71,495.29,On time,Others
Mozambique,Air,Tablet,2106,6402.24,3.04,0.05,113.0,919.2,10.24,On time,India
Zambia,Truck,Tablet - FDC,50000,360000.0,7.2,0.12,3679.0,5014.65,576.0,On time,India
Tanzania,Air,Tablet,1300,4420.0,3.4,0.06,16709.0,15210.0,7.07,On time,India
Others,Air,Test kit,20,1439.8,71.99,0.72,,,2.3,On time,Others
Nigeria,Air,Tablet - FDC,3226,42841.28,13.28,0.22,359.0,2750.89,68.55,On time,India
Others,Air,Tablet,24320,292083.2,12.01,0.4,2094.0,4528.5,467.33,On time,India
Zambia,Truck,Tablet - FDC,14124,133471.8,9.45,0.16,2115.0,2882.85,213.55,On time,India
Kenya,Truck,Test kit,3,0.03,0.01,0.0,3.0,99.0,0.0,On time,Others
Kenya,Truck,Test kit,997,9.97,0.01,0.0,399.0,417.42,0.02,On time,Others
Zimbabwe,Truck,Tablet - FDC,1600,3200.0,2.0,0.07,96.0,2145.17,5.12,On time,India
Côte d'Ivoire,Air,Tablet,374,10296.22,27.53,0.46,1118.0,2810.58,16.47,On time,India
Haiti,Air,Others,5056,9707.52,1.92,0.01,2166.0,22956.0,15.53,On time,India
Haiti,Air,Others,4725,7182.0,1.52,0.03,1154.0,12508.65,11.49,On time,India
Ethiopia,,Others,51293,77965.36,1.52,0.03,3371.0,11862.2,124.74,On time,India
Nigeria,Air,Tablet,11527,138439.27,12.01,0.4,1994.0,10231.84,221.5,On time,India
Kenya,Truck,Test kit,270,5400.0,20.0,0.8,97.0,98.08,8.64,On time,Others
Haiti,Air,Tablet,11760,39984.0,3.4,0.06,3820.0,35933.8,63.97,On time,India
Côte d'Ivoire,Air,Others,1664,27456.0,16.5,0.07,905.0,10451.25,43.93,On time,India
Zambia,Truck,Tablet - FDC,42768,85536.0,2.0,0.07,2493.0,4887.18,136.86,On time,India
Haiti,Air,Test kit,10,720.0,72.0,0.72,12.0,785.88,1.15,On time,Others
Haiti,Air,Test kit,10,720.0,72.0,0.72,,,1.15,On time,Others
Uganda,Air,Tablet,2060,25585.2,12.42,0.41,196.0,1381.7,40.94,On time,India
Others,Air,Test kit,737,23584.0,32.0,1.6,231.0,5491.08,37.73,On time,
Côte d'Ivoire,,Others,1505,15.05,0.01,0.0,440.0,1759.4,0.02,On time,Others
Tanzania,Air,Tablet,5730,157746.9,27.53,0.46,569.0,886.35,252.4,On time,India
Zimbabwe,Air,Tablet - FDC,1600,3200.0,2.0,0.07,4252.0,15696.7,5.12,On time,India
Côte d'Ivoire,Air,Tablet - FDC,12833,94964.2,7.4,0.12,1316.0,3056.96,151.94,On time,India
Côte d'Ivoire,Air,Tablet - FDC,20284,192698.0,9.5,0.16,1897.0,3826.17,308.32,On time,India
Zambia,,Tablet - FDC,43154,1132792.5,26.25,0.88,3788.0,1910.61,1812.47,On time,Others
Others,Air,Tablet,2100,25221.0,12.01,0.4,181.0,690.39,40.35,On time,India
Haiti,Air,Tablet,3150,25672.5,8.15,0.14,181.0,2944.21,41.08,On time,India
Haiti,Air,Tablet,10283,29923.53,2.91,0.05,519.0,5974.7,47.88,On time,India
Haiti,Air,Tablet,389,15987.9,41.1,0.34,4639.0,47525.69,25.58,On time,Others
Zambia,,Tablet - FDC,40320,381024.0,9.45,0.16,3750.0,1891.44,609.64,On time,India
Tanzania,Air,Tablet,23230,67599.3,2.91,0.05,1156.0,6308.6,108.16,On time,India
Côte d'Ivoire,Air,Others,1200,2520.0,2.1,0.01,448.0,2605.77,4.94,On time,India
Nigeria,Truck,Others,858,1329.9,1.55,0.03,58.0,7363.73,2.61,On time,India
Uganda,Air,Tablet - FDC,3505,32771.75,9.35,0.16,6556.0,5401.95,64.23,On time,India
Mozambique,Air,Tablet - FDC,125000,900000.0,7.2,0.12,9228.0,3671.92,1764.0,On time,India
Mozambique,Air,Tablet - FDC,32067,230882.4,7.2,0.12,2382.0,3671.92,452.53,Delivered Early,India
Zambia,Truck,Tablet,29011,98637.4,3.4,0.06,2717.0,4060.55,193.33,On time,India
Uganda,Air,Tablet,1747,19217.0,11.0,0.37,152.0,1340.96,37.67,On time,India
Rwanda,Air,Tablet,7425,23760.0,3.2,0.05,404.0,5637.82,46.57,On time,India
Zimbabwe,Truck,Test kit,307,6140.0,20.0,0.8,1368.0,5663.0,9.82,On time,Others
Mozambique,Truck,Tablet - FDC,125010,900072.0,7.2,0.12,3918.0,1012.43,1440.12,On time,India
Nigeria,Air,Tablet - FDC,45000,420750.0,9.35,0.16,3657.0,23070.58,673.2,On time,Others
Nigeria,Air,Tablet - FDC,1000,50400.0,50.4,1.68,108.0,13353.34,80.64,On time,Others
Nigeria,Air,Tablet - FDC,6000,157500.0,26.25,0.88,1566.0,10624.04,252.0,On time,Others
Haiti,Air,Others,9187,19292.7,2.1,0.01,3435.0,40301.65,30.87,On time,India
Ethiopia,Air,Tablet - FDC,31000,271560.0,8.76,0.15,1787.0,10073.76,532.26,On time,India
Zambia,Truck,Tablet,50000,170000.0,3.4,0.06,2764.0,2938.92,333.2,On time,India
Nigeria,Air,Tablet,2066,7024.4,3.4,0.06,451.0,3487.94,11.24,On time,India
Nigeria,Air,Tablet - FDC,1894,17708.9,9.35,0.16,,,28.33,On time,Others
Uganda,Air,Tablet - FDC,2742,20290.8,7.4,0.12,204.0,3477.0,39.77,On time,India
Mozambique,Air,Tablet - FDC,13100,154580.0,11.8,0.2,6036.0,3671.92,302.98,On time,India
Mozambique,Air,Tablet,528,1536.48,2.91,0.05,4211.0,3227.48,2.46,On time,India
Tanzania,Air,Tablet,5000,60050.0,12.01,0.4,379.0,1188.97,96.08,On time,Others
Mozambique,Air,Tablet - FDC,115130,828936.0,7.2,0.12,8693.0,6757.33,1624.71,On time,India
Nigeria,Air,Tablet - FDC,1116,10434.6,9.35,0.16,102.0,3680.33,20.45,On time,India
Ethiopia,Air,Tablet,28926,307194.12,10.62,0.35,4593.0,16901.37,602.1,On time,Others
Tanzania,Truck,Tablet - FDC,46163,436240.35,9.45,0.16,4237.0,3482.59,697.98,On time,India
Mozambique,Truck,Tablet,12040,38528.0,3.2,0.05,677.0,1522.92,61.64,On time,India
Nigeria,Air,Tablet - FDC,4,105.0,26.25,0.88,1.0,462.5,0.17,On time,Others
Nigeria,Air,Tablet,1017,2949.3,2.9,0.05,892.0,13353.34,4.72,On time,India
Nigeria,Air,Tablet - FDC,5217,38605.8,7.4,0.12,563.0,3852.55,75.67,On time,India
Nigeria,Air,Tablet - FDC,17067,448008.75,26.25,0.88,1481.0,14974.4,878.1,On time,Others
Uganda,Air,Tablet - FDC,6296,74292.8,11.8,0.2,822.0,7321.04,145.61,On time,India
Nigeria,Air,Tablet,2003,23475.16,11.72,0.39,181.0,18617.93,46.01,On time,India
Nigeria,Air,Tablet,2034,83597.4,41.1,0.34,937.0,10990.36,163.85,On time,Others
Zambia,Truck,Tablet,50000,600500.0,12.01,0.4,3775.0,4060.54,1176.98,On time,Others
Nigeria,Air Charter,Tablet - FDC,4501,51311.4,11.4,0.19,506.0,22985.72,100.57,On time,India
Tanzania,Air,Tablet,145000,1741450.0,12.01,0.4,11186.0,9330.0,2786.32,On time,Others
Mozambique,Air,Tablet - FDC,3672,34333.2,9.35,0.16,3427.0,3874.22,54.93,On time,India
Mozambique,Air,Tablet,486,1409.4,2.9,0.05,23.0,968.55,2.76,On time,India
Kenya,Truck,Test kit,5000,118500.0,23.7,0.79,,,232.26,On time,Others
Nigeria,Air,Tablet - FDC,3392,89040.0,26.25,0.88,298.0,2922.53,174.52,On time,Others
Nigeria,Air Charter,Tablet - FDC,30415,346731.0,11.4,0.19,3415.0,15128.37,679.59,On time,India
Mozambique,Air,Tablet - FDC,47392,341222.4,7.2,0.12,7113.0,3599.76,668.8,On time,India
Nigeria,Air Charter,Tablet - FDC,2561,67226.25,26.25,0.88,235.0,15128.37,131.76,On time,Others
Uganda,Air,Tablet - FDC,3574,31308.24,8.76,0.15,14.0,1375.36,61.36,On time,Others
Others,Air,Tablet,2345,16063.25,6.85,0.23,239.0,2393.34,31.48,On time,Others
Others,Air,Others,523,6657.79,12.73,0.14,,,13.05,On time,India
Others,Truck,Tablet,6133,61.33,0.01,0.0,,,0.12,On time,Others
Côte d'Ivoire,Air,Tablet,5601,16803.0,3.0,0.05,545.0,2280.64,32.93,On time,India
Zambia,Truck,Tablet,500,3855.0,7.71,0.13,10681.0,17384.76,7.56,On time,India
Haiti,Air,Others,2208,4239.36,1.92,0.01,827.0,7789.88,8.31,On time,India
Zambia,Air,Tablet,6000,46260.0,7.71,0.13,341.0,2219.27,90.67,On time,India
Nigeria,Air Charter,Tablet,30000,291600.0,9.72,0.32,3364.0,7329.83,571.54,On time,India
Zambia,Air,Others,1093,16679.18,15.26,0.17,133.0,1759.21,32.69,On time,India
Côte d'Ivoire,Air,Tablet - FDC,10962,96027.12,8.76,0.15,2634.0,6111.21,188.21,On time,India
Mozambique,Air,Others,470,700.3,1.49,0.02,31.0,1047.04,1.37,On time,India
Côte d'Ivoire,Air,Tablet,6930,176368.5,25.45,0.42,687.0,1854.88,345.68,On time,Others
Mozambique,Truck,Tablet - FDC,125000,890000.0,7.12,0.12,9290.0,2400.26,1744.4,On time,India
Zambia,Truck,Tablet,9700,74787.0,7.71,0.13,551.0,2448.71,146.58,On time,India
Tanzania,Truck,Tablet,4794,122007.3,25.45,0.42,475.0,3588.34,239.13,On time,Others
Zambia,Truck,Tablet - FDC,108000,946080.0,8.76,0.15,10865.0,13518.56,1854.32,On time,India
Côte d'Ivoire,Air,Tablet,7000,52710.0,7.53,0.13,396.0,6087.84,103.31,On time,India
Côte d'Ivoire,Air,Tablet - FDC,8824,77298.24,8.76,0.15,706.0,3144.57,151.5,On time,Others
Côte d'Ivoire,Air,Others,1216,1824.0,1.5,0.02,3426.0,9797.41,3.58,On time,India
Zambia,Truck,Tablet,98000,294000.0,3.0,0.05,9522.0,13518.56,576.24,On time,India
Haiti,Air,Others,4315,9061.5,2.1,0.01,2520.0,25874.1,17.76,On time,India
Haiti,Air,Others,2415,4588.5,1.9,0.01,,,8.99,On time,India
Uganda,Air,Tablet - FDC,240,1680.0,7.0,0.12,23.0,1173.1,3.29,On time,India
Tanzania,Truck,Tablet,6915,175986.75,25.45,0.42,1067.0,2217.5,344.93,On time,India
Uganda,Truck,Tablet - FDC,14066,159649.1,11.35,0.19,1593.0,9547.7,312.91,On time,India
Côte d'Ivoire,Air,Others,3535,6716.5,1.9,0.01,1224.0,2298.61,14.48,On time,India
Côte d'Ivoire,Air,Others,2430,3547.8,1.46,0.02,156.0,2298.6,7.65,On time,India
Côte d'Ivoire,Air,Others,1042,82463.88,79.14,0.29,,,177.79,On time,Others
Mozambique,Air,Others,117,9117.81,77.93,0.29,155.0,939.08,,On time,Others
Rwanda,Air,Tablet,600,21480.0,35.8,0.6,55.0,913.15,,On time,India
Rwanda,Air,Tablet,400,38920.0,97.3,0.36,108.0,23000.34,,On time,Others
Côte d'Ivoire,,Others,360,13809.6,38.36,0.11,630.0,3660.4,,On time,Others
Zambia,,Test kit,1500,48000.0,32.0,1.6,580.0,4965.24,,On time,
Mozambique,Air,Others,474,10191.0,21.5,0.09,221.0,710.68,,On time,India
Mozambique,Air,Others,409,13251.6,32.4,0.36,45.0,348.09,,On time,Others
Mozambique,Air,Tablet,250,10275.0,41.1,0.34,105.0,348.09,,On time,Others
Zambia,,Tablet - FDC,85158,909487.44,10.68,0.18,8169.0,33572.78,,On time,India
Tanzania,Air,Test kit,8009,160180.0,20.0,0.8,,12740.42,,On time,Others
Mozambique,Air,Others,151,4892.4,32.4,0.36,,,,On time,Others
Mozambique,Air,Tablet,2997,50949.0,17.0,0.57,,,,On time,Others
Rwanda,Air,Others,90,1935.0,21.5,0.09,120.0,11609.31,,On time,India
