Drop_point,Shipment_Mode,Dosage_Form,Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,Weight,Freight_Cost,Line_Item_Insurance,Delivery_Status,Pickup_Point
Vietnam,Air,Others,15960,23142.0,1.45,0.02,1815.0,9931.49,45.36,On time,India
Vietnam,Air,Tablet - FDC,3500,39025.0,11.15,0.19,,,76.49,On time,India
Others,Air,Test kit,1,350.0,350.0,3.5,3.0,597.43,0.69,On time,Others
Vietnam,Air,Others,120,840.0,7.0,0.12,,,1.65,On time,Others
South Africa,Truck,Tablet,360,7041.6,19.56,0.33,,,13.8,Delivered Early,Others
South Africa,Truck,Others,40,678.8,16.97,0.57,,,1.33,Delivered Early,Others
South Africa,Truck,Tablet,200,3136.0,15.68,0.26,,,6.15,Delivered Early,Others
South Africa,Truck,Others,30,328.2,10.94,0.05,,,0.64,Delivered Early,India
South Africa,Truck,Others,30,2298.0,76.6,0.28,,,4.5,Delivered Early,Others
South Africa,Truck,Tablet,300,7440.0,24.8,0.83,,,14.58,Delivered Early,Others
Côte d'Ivoire,Air,Test kit,44,1375.0,31.25,1.25,15.0,633.73,,On time,Others
Uganda,Air,Tablet - FDC,5080,55880.0,11.0,0.18,1172.0,5595.44,,On time,India
Vietnam,Air,Tablet,200,32688.0,163.44,0.61,54.0,13981.96,,On time,Others
Rwanda,Air,Test kit,2000,42000.0,21.0,0.7,600.0,5714.31,,On time,India
Rwanda,Air,Test kit,500,20000.0,40.0,2.0,173.0,17928.53,,Delayed,
Zambia,Air,Test kit,2500,200000.0,80.0,0.8,857354.0,5157.65,,On time,Others
Zambia,Air,Test kit,400,8000.0,20.0,0.8,134.0,963.73,,On time,Others
Haiti,Air,Test kit,125,17375.0,139.0,1.39,78.0,4702.79,,On time,
Nigeria,Air,Test kit,1500,120000.0,80.0,0.8,512.0,3906.29,192.0,Delayed,Others
Vietnam,Air,Tablet,1500,41475.0,27.65,0.46,,,66.36,On time,India
Vietnam,Air,Tablet,1000,82190.0,82.19,0.68,226.0,2923.46,131.5,On time,Others
Guyana,Air,Others,300,3.0,0.01,0.0,,,0.0,On time,Others
Côte d'Ivoire,Air,Others,1161,6548.04,5.64,0.09,,,10.48,On time,Others
Tanzania,Air,Test kit,10000,200000.0,20.0,0.8,3338.0,28466.06,320.0,On time,Others
Tanzania,Air,Test kit,10000,200000.0,20.0,0.8,3112.0,22856.02,392.0,On time,Others
Guyana,Air,Others,442,4.42,0.01,0.0,,,0.01,On time,Others
Côte d'Ivoire,Air,Test kit,250,6750.0,27.0,1.35,68.0,1711.86,10.8,On time,
South Africa,,Tablet,800,15408.0,19.26,0.32,,,24.65,On time,Others
South Africa,,Others,800,4792.0,5.99,0.1,,,7.67,Delivered Early,Others
Rwanda,Air,Test kit,2450,78400.0,32.0,1.6,,,125.44,On time,
Rwanda,Air,Tablet - FDC,38784,271488.0,7.0,0.12,4124.0,10500.0,434.38,Delivered Early,India
Vietnam,Air,Tablet,2000,164400.0,82.2,0.68,513.0,5866.31,263.04,Delayed,Others
Vietnam,Air,Others,800,1400.0,1.75,0.03,,,2.24,On time,India
South Africa,,Tablet,100,2318.0,23.18,0.39,,,3.71,Delivered Early,Others
South Africa,,Tablet,800,13960.0,17.45,0.29,,,22.34,Delivered Early,Others
